Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2019-08-27,566534,8,643511,R,430945,R,58,Groundout,2,1,190828_035356,de52aeae-1132-455a-9a08-b1ca5e29d495,0,1,0,C,Called Strike,SI,7,2.0,3.63,1.7,82.9,76.6,,-3.61,50.0,1.55,-0.48,2.19,-3.05,-8.3,8.42,-119.91,10.86,-4.53,19.04,-44.49,4.8,12.0,24.0,1980,342,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,430945,R,58,Groundout,2,2,190828_035413,d069ac1e-aa9a-46dd-afbc-fae09f887f73,0,1,0,X,In play- out(s),SI,7,2.0,3.65,1.71,82.2,75.4,,-3.53,50.0,1.53,-0.56,1.89,-1.67,-8.42,7.49,-118.83,10.27,-2.41,20.72,-44.33,1.2,12.0,24.0,1889,353,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,605113,R,59,Groundout,2,1,190828_035453,572f9225-cfc7-42a6-8021-2c1fa29bd616,0,0,1,B,Ball,SI,14,2.0,3.74,1.81,82.7,75.7,,-3.37,50.0,1.55,1.6,2.17,-3.06,-9.24,12.67,-119.09,11.12,-4.43,21.13,-45.55,2.4,12.0,24.0,1951,348,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,605113,R,59,Groundout,2,2,190828_035510,d0983cb9-44f1-4248-89f9-01891f217029,1,0,1,X,In play- out(s),SI,14,2.0,3.7,1.82,82.1,74.8,,-3.62,50.0,1.45,0.22,1.7,-1.75,-9.51,9.52,-118.63,10.33,-2.5,22.61,-45.73,1.2,12.0,24.0,1949,356,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,488671,L,60,Groundout,7,1,190828_035549,468560e2-3a92-4318-bb9e-2d705728af97,0,1,2,C,Called Strike,FF,8,2.0,3.43,1.69,82.1,74.6,,-3.41,50.0,1.41,0.04,1.69,-7.1,-7.57,10.24,-118.56,9.84,-10.12,22.47,-42.96,10.8,12.0,24.0,1922,316,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,488671,L,60,Groundout,7,2,190828_035611,ca679fd2-1e95-432f-9aae-179c820cf3d6,0,2,2,F,Foul,SI,8,2.0,3.37,1.67,82.1,74.9,,-3.56,50.0,1.47,-0.15,1.71,-3.64,-9.16,9.13,-118.67,10.21,-5.2,21.99,-45.28,4.8,12.0,24.0,1925,342,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,488671,L,60,Groundout,7,3,190828_035638,9338939c-7fd3-428e-a520-540d8efceb05,0,2,2,F,Foul,CU,1,2.0,3.39,1.73,72.8,66.4,,-3.77,50.0,1.61,-0.37,2.84,5.24,6.03,5.67,-105.38,8.67,5.9,17.67,-25.39,15.6,8.4,24.0,2355,141,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,488671,L,60,Groundout,7,4,190828_035702,475a8db1-e08c-44fa-8801-55b7b78f7752,0,2,2,B,Ball,FF,13,2.0,3.43,1.68,83.7,77.1,,-3.66,50.0,1.5,-1.23,2.18,-6.7,-4.7,7.94,-121.13,9.81,-10.11,20.06,-39.28,13.2,10.8,24.0,1984,300,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,488671,L,60,Groundout,7,5,190828_035723,0627005c-72e9-43b9-a7c7-09989469a645,1,2,2,F,Foul,CU,12,2.0,3.46,1.63,73.5,67.5,,-3.71,50.0,1.59,0.83,3.01,4.39,3.33,8.35,-106.13,9.73,5.05,16.53,-28.34,13.2,9.6,24.0,2238,131,,,,,,,0,1,-2,top
2019-08-27,566534,8,643511,R,488671,L,60,Groundout,7,6,190828_035751,823baffe-f687-4d8b-8c6f-2a8b84826184,1,2,2,F,Foul,SI,4,2.0,3.42,1.64,83.0,76.0,,-3.77,50.0,1.57,-0.29,2.63,-2.19,-8.86,8.93,-119.76,12.04,-3.21,20.91,-45.18,2.4,12.0,24.0,1820,351,,,,,,,0,1,-2,top
